url,model,year,price,miles,type,color,status,image
"https://www.tesla.com/ms/order/5YJSA1E42FF116169?postal=92805&coord=33.8358,-117.9063&titleStatus=used&redirect=no#payment",Model S,2015,52600,70737,P90DL All-Wheel Drive,Titanium Metallic Paint,Available Now,"https://static-assets.tesla.com/configurator/compositor?&bkba_opt=2&view=STUD_3QTR&size=1400&model=ms&options=$BP01,$ADPX2,$GLFR,$AU01,$DA02,$APH1,$APD2,$X028,$BTX4,$PX4D,$BS00,$BC0R,$CH00,$CW00,$COUS,$X040,$IDCF,$X027,$DRLH,$AF00,$FG02,$DCF0,$X007,$X011,$PI01,$IX01,$X001,$LP01,$LT3B,$MI00,$X037,$MDLS,$DV4W,$X024,$X003,$ZCST,$PPTI,$PA00,$PS01,$PK00,$X031,$PX00,$PF01,$TM00,$BR01,$RENA,$RFP2,$USSB,$X013,$S15B,$ME02,$QNEB,$SR01,$SP00,$X019,$SC04,$SU01,$TP03,$TR00,$TIM6,$WTX0,$DSH7,$MT90L,$UTAW,$WTSG,$WR01,$YF01&crop=1400,850,300,130&scalemode=centered"
https://www.carvana.com/vehicle/1940804,Model S,2015,28590,68530,60,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PPSW.png
https://www.carvana.com/vehicle/1958323,Model S,2013,36990,67945,Performance,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PBSB.png
https://www.carvana.com/vehicle/1982609,Model S,2015,43990,66463,85D,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PPSB.png
https://www.vroom.com/inventory/tesla-model-s-2014-5YJSA1S15EFP41335,Model S,2014,32999,64964,60,color,Sale Pending,
https://www.carvana.com/vehicle/1855693,Model S,2012,32990,64852,Performance,color,Available,https://cdnblob.fastly.carvana.io/2001079111/post-large/2001079111-edc-02-search.jpg?v=2021.7.16_15.45.55
https://www.carvana.com/vehicle/1944765,Model S,2016,46990,64284,75D,color,Available,https://carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2019/13547/13547_cc0640_032_PPSB.png
https://shift.com/car/2013-red-tesla-model-s/c171593,Model S,2013,33500,64000,Base,color,Available Now,https://shiftcars1.imgix.net/content/con12ieVgmriSb4js5JX10Zfjqfn2Ws0h75ubbTTJjvU7GgWGyFkkx?w=500&auto=format%2Ccompress
https://www.vroom.com/inventory/tesla-model-s-2016-5YJSA1E25GF121981,Model S,2016,40999,63752,70D,color,Sale Pending,
https://www.carvana.com/vehicle/1729166,Model S,2014,31990,63143,base,color,Available,https://cdnblob.fastly.carvana.io/2001135995/post-large/2001135995-edc-02-search.jpg?v=2021.7.21_22.12.16
https://www.carvana.com/vehicle/1761809,Model S,2012,33990,61259,base,color,Available,https://cdnblob.fastly.carvana.io/2001135995/post-large/2001135995-edc-02-search.jpg?v=2021.7.21_22.12.16
"https://www.tesla.com/ms/order/5YJSA1E46FF109595?postal=92805&coord=33.8358,-117.9063&titleStatus=used&redirect=no#payment",Model S,2015,51700,61170,P85D All-Wheel Drive,Pearl White Multi-Coat Paint,Available Now,"https://static-assets.tesla.com/configurator/compositor?&bkba_opt=2&view=STUD_3QTR&size=1400&model=ms&options=$BP00,$ADPX2,$GLFR,$AU01,$DA02,$APH1,$APD2,$X028,$BT85,$P85D,$BS00,$BC0R,$CH00,$CW00,$COUS,$X040,$IDCF,$X027,$DRLH,$AF00,$FG02,$DCF0,$X007,$X011,$PI01,$IX01,$X001,$LP01,$LT3B,$MI00,$X037,$MDLS,$DV4W,$X024,$X003,$ZINV,$PPSW,$PA00,$PS01,$PK00,$X031,$PX00,$PF01,$TM00,$BR05,$RENA,$RFP2,$USSB,$X013,$S15B,$ME02,$QNEB,$SR01,$SP00,$X019,$SC04,$SU01,$TP03,$TR00,$TIM6,$WTX0,$DSH7,$MT85P,$UTAB,$WTSG,$WR01,$YF00&crop=1400,850,300,130&scalemode=centered"
